4377906287425800514;2016-05-21;[2016-05-21 18:52:00,2016-05-21 18:54:00);12.4
4377906289863800514;2016-05-21;[2016-05-21 19:34:00,2016-05-21 19:36:00);20.7
4377906286041600514;2016-05-21;[2016-05-21 02:18:00,2016-05-21 02:20:00);13.5
4377906288234600514;2016-05-21;[2016-05-21 14:12:00,2016-05-21 14:14:00);35.4
4377906289243600514;2016-05-21;[2016-05-21 18:26:00,2016-05-21 18:28:00);1.7
4377906280163800514;2016-05-21;[2016-05-21 19:48:00,2016-05-21 19:50:00);58.9
3377906283328510514;2016-05-21;[2016-05-21 02:02:00,2016-05-21 02:04:00);4.2
4377906281234600514;2016-05-21;[2016-05-21 10:28:00,2016-05-21 10:30:00);2.9
4377906281969500514;2016-05-21;[2016-05-21 10:22:00,2016-05-21 10:24:00);1.0
3377906281518510514;2016-05-21;[2016-05-21 04:54:00,2016-05-21 04:56:00);1.9
3377906289434510514;2016-05-21;[2016-05-21 10:32:00,2016-05-21 10:34:00);1.5
4377906282815800514;2016-05-21;[2016-05-21 00:36:00,2016-05-21 00:38:00);10.6
4377906281784800514;2016-05-21;[2016-05-21 01:22:00,2016-05-21 01:24:00);9.5
4377906287243600514;2016-05-21;[2016-05-21 16:42:00,2016-05-21 16:44:00);12.8
4377906280334600514;2016-05-21;[2016-05-21 11:12:00,2016-05-21 11:14:00);29.1
4377906283815800514;2016-05-21;[2016-05-21 17:34:00,2016-05-21 17:36:00);27.5
4377906280784800514;2016-05-21;[2016-05-21 19:56:00,2016-05-21 19:58:00);41.3
4377906286032600514;2016-05-21;[2016-05-21 03:14:00,2016-05-21 03:16:00);24.0
4377906281041600514;2016-05-21;[2016-05-21 08:14:00,2016-05-21 08:16:00);8.3
4377906283525800514;2016-05-21;[2016-05-21 01:44:00,2016-05-21 01:46:00);65.4

