3377906280028510514#2016-06-01#[2016-06-01 08:00:00,2016-06-01 08:02:00)#7.35576923076923
3377906280028510514#2016-06-02#[2016-06-02 08:00:00,2016-06-02 08:02:00)#7.35576923076923
3377906280028510514#2016-06-03#[2016-06-03 08:00:00,2016-06-03 08:02:00)#7.35576923076923
3377906280028510514#2016-06-04#[2016-06-04 08:00:00,2016-06-04 08:02:00)#7.35576923076923
3377906280028510514#2016-06-05#[2016-06-05 08:00:00,2016-06-05 08:02:00)#7.35576923076923
3377906280028510514#2016-06-06#[2016-06-06 08:00:00,2016-06-06 08:02:00)#7.35576923076923
3377906280028510514#2016-06-07#[2016-06-07 08:00:00,2016-06-07 08:02:00)#7.35576923076923
3377906280028510514#2016-06-08#[2016-06-08 08:00:00,2016-06-08 08:02:00)#7.35576923076923
3377906280028510514#2016-06-09#[2016-06-09 08:00:00,2016-06-09 08:02:00)#7.35576923076923
3377906280028510514#2016-06-10#[2016-06-10 08:00:00,2016-06-10 08:02:00)#7.35576923076923
